,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
11,37,0.08000018359368788,1040,0.1383975026014568,2,2,0.14686468646864687,1,139,3,1,100,2,2,0.06870368828064846,4,2,5163,15850,5,1,0,14,3,4,80,1,17,2,4,1,0,0,0
12,37,0.2490974729235817,1278,0.2062780269058296,1,4,0.13577586206896552,1,1700,3,1,31,1,2,0.17484662576687046,4,2,9525,7677,1,1,0,14,3,3,80,2,6,2,2,6,3,1,3
13,34,0.2490974729235817,702,0.1383975026014568,16,4,0.14686468646864687,1,838,3,0,100,2,1,0.16095890410958943,4,0,2553,8306,1,1,0,16,3,3,80,0,6,3,3,5,2,1,3
14,26,0.14956855225311602,1384,0.1383975026014568,3,4,0.13577586206896552,1,1177,1,1,82,4,1,0.23938223937897848,4,1,4420,13421,1,1,0,22,4,2,80,1,8,2,3,8,7,0,7
15,40,0.08000018359368788,663,0.1383975026014568,9,4,0.13420118338933018,1,1449,3,1,81,3,2,0.23938223937897848,3,2,3975,23099,3,1,0,11,3,3,80,2,11,2,4,8,7,0,7
16,45,0.14956855225311602,974,0.1383975026014568,1,4,0.13577586206896552,1,996,4,0,91,3,1,0.23938223937897848,4,2,2270,11005,3,1,0,14,3,4,80,2,8,2,3,5,3,0,2
17,40,0.08000018359368788,1094,0.2062780269058296,28,3,0.13420118338933018,1,615,3,1,58,1,3,0.17484662576687046,1,2,10932,11373,3,1,0,15,3,3,80,1,20,2,3,1,0,0,1
18,53,0.14956855225311602,868,0.2062780269058296,8,3,0.22012573203437844,1,897,1,1,73,3,4,0.17484662576687046,4,1,11836,22789,5,1,0,14,3,3,80,1,28,3,3,2,0,2,2
19,45,0.14956855225311602,192,0.1383975026014568,10,2,0.14686468646864687,1,544,1,1,69,3,1,0.16095890410958943,4,1,2654,9655,3,1,0,21,4,4,80,2,8,3,2,2,2,0,2
20,22,0.14956855225311602,391,0.1383975026014568,7,1,0.14686468646864687,1,1878,4,1,75,3,1,0.16095890410958943,2,0,2472,26092,1,1,1,23,4,1,80,0,1,2,3,1,0,0,0
21,37,0.14956855225311602,921,0.1383975026014568,10,3,0.13577586206896552,1,486,3,0,98,3,1,0.23938223937897848,1,1,3452,17663,6,1,0,20,4,2,80,1,17,3,3,5,4,0,3
22,58,0.14956855225311602,605,0.2062780269058296,21,3,0.14686468646864687,1,1938,4,0,72,3,4,0.04905041685272943,4,1,17875,11761,4,1,1,13,3,3,80,1,29,2,2,1,0,0,0
23,35,0.14956855225311602,464,0.1383975026014568,4,2,0.13420118338933018,1,53,3,1,75,3,1,0.23938223937897848,4,2,1951,10910,1,1,0,12,3,3,80,1,1,3,3,1,0,0,0
24,56,0.14956855225311602,1443,0.2062780269058296,11,5,0.22012573203437844,1,1935,4,0,89,2,2,0.17484662576687046,1,1,5380,20328,4,1,0,16,3,3,80,1,6,3,3,0,0,0,0
25,29,0.14956855225311602,592,0.1383975026014568,7,3,0.14686468646864687,1,1883,4,1,59,3,1,0.23938223937897848,1,0,2062,19384,3,1,0,14,3,2,80,0,11,2,3,3,2,1,2
26,52,0.14956855225311602,723,0.1383975026014568,8,4,0.13577586206896552,1,433,3,1,85,2,2,0.16095890410958943,2,1,4941,17747,2,1,0,15,3,1,80,0,11,3,2,8,2,7,7
27,34,0.14956855225311602,1440,0.2062780269058296,7,2,0.24242313209808733,1,1541,2,1,55,3,1,0.3971571172349599,3,1,2308,4944,0,1,1,25,4,2,80,1,12,4,3,11,10,5,7
28,32,0.14956855225311602,1018,0.1383975026014568,3,2,0.14686468646864687,1,727,3,0,39,3,3,0.02533683182797013,4,0,11159,19373,3,1,0,15,3,4,80,0,10,6,3,7,7,7,7
29,22,0.14956855225311602,1136,0.1383975026014568,5,3,0.14686468646864687,1,284,4,1,60,4,1,0.16095890410958943,2,2,2328,12392,1,1,1,16,3,1,80,1,4,2,2,4,2,2,2
30,35,0.14956855225311602,528,0.19008460036286423,8,4,0.24242313209808733,1,1164,3,1,100,3,1,0.22804546072229726,3,0,4323,7108,1,1,0,17,3,2,80,0,6,2,1,5,4,1,4
31,36,0.14956855225311602,172,0.1383975026014568,4,4,0.14686468646864687,1,1435,1,1,37,2,2,0.23938223937897848,4,0,5810,22604,1,1,0,16,3,3,80,0,10,2,2,10,4,1,8
32,53,0.14956855225311602,238,0.2062780269058296,1,1,0.13577586206896552,1,682,4,0,34,3,2,0.17484662576687046,1,0,8381,7507,7,1,0,20,4,4,80,0,18,2,4,14,7,8,10
33,39,0.2490974729235817,203,0.1383975026014568,2,3,0.14686468646864687,1,1127,1,1,84,3,4,0.06870368828064846,4,2,12169,13547,7,1,0,11,3,4,80,3,21,4,3,18,7,11,5
34,23,0.14956855225311602,507,0.1383975026014568,20,1,0.14686468646864687,1,1533,1,1,97,3,2,0.23938223937897848,3,0,2272,24812,0,1,0,14,3,2,80,0,5,2,3,4,3,1,2
35,41,0.14956855225311602,918,0.2062780269058296,6,3,0.22012573203437844,1,1708,4,1,35,3,3,0.17484662576687046,3,0,9241,15869,1,1,0,12,3,2,80,0,10,3,3,10,8,8,7
36,27,0.2490974729235817,829,0.2062780269058296,8,1,0.22012573203437844,1,800,3,1,84,3,2,0.17484662576687046,4,1,4342,24008,0,1,0,19,3,2,80,1,5,3,3,4,2,1,1
37,18,0.08000018359368788,1431,0.1383975026014568,14,3,0.13577586206896552,1,1839,2,0,33,3,1,0.16095890410958943,3,0,1514,8018,1,1,0,16,3,3,80,0,0,4,1,0,0,0,0
38,32,0.14956855225311602,859,0.1383975026014568,4,3,0.14686468646864687,1,830,3,0,98,2,2,0.06896586105729074,3,1,6162,19124,1,1,0,12,3,3,80,1,14,3,3,14,13,6,8
39,31,0.14956855225311602,741,0.1383975026014568,2,4,0.14686468646864687,1,1721,2,1,69,3,1,0.23938223937897848,3,1,3477,18103,1,1,0,14,3,4,80,1,6,2,4,5,2,0,3
40,40,0.14956855225311602,444,0.2062780269058296,2,2,0.22012573203437844,1,1986,2,0,92,3,2,0.17484662576687046,2,1,5677,4258,3,1,0,14,3,3,80,1,15,4,3,11,8,5,10
41,35,0.14956855225311602,819,0.1383975026014568,2,3,0.14686468646864687,1,1182,3,1,44,2,3,0.06896586105729074,2,2,10274,19588,2,1,0,18,3,2,80,1,15,2,4,7,7,6,4
42,59,0.08000018359368788,1420,0.19008460036286423,2,4,0.22673012399864786,1,140,3,0,32,2,5,0.04905041685272943,4,1,18844,21922,9,1,0,21,4,4,80,1,30,3,3,3,2,2,2
43,55,0.2490974729235817,1091,0.1383975026014568,2,1,0.14686468646864687,1,1096,4,1,65,3,3,0.06896586105729074,2,1,10976,15813,3,1,0,18,3,2,80,1,23,4,3,3,2,1,2
44,24,0.14956855225311602,1476,0.2062780269058296,4,1,0.13577586206896552,1,1445,4,0,42,3,2,0.17484662576687046,3,1,4162,15211,1,1,1,12,3,3,80,2,5,3,3,5,4,0,3
45,40,0.08000018359368788,1151,0.1383975026014568,9,5,0.14686468646864687,1,287,4,1,63,2,2,0.06870368828064846,4,1,4876,14242,9,1,0,14,3,4,80,1,5,5,1,3,2,0,2
46,27,0.2490974729235817,591,0.1383975026014568,2,3,0.13577586206896552,1,1648,4,1,87,3,1,0.16095890410958943,4,0,2580,6297,2,1,0,13,3,3,80,0,6,0,2,4,2,1,2
47,31,0.14956855225311602,326,0.2062780269058296,8,2,0.14686468646864687,1,1453,1,1,31,3,3,0.17484662576687046,4,2,10793,8386,1,1,0,18,3,1,80,1,13,5,3,13,7,9,9
48,31,0.14956855225311602,525,0.2062780269058296,6,4,0.13577586206896552,1,653,1,1,66,4,2,0.17484662576687046,4,2,5460,6219,4,1,0,22,4,4,80,2,13,4,4,7,7,5,7
49,50,0.2490974729235817,959,0.2062780269058296,1,4,0.13420118338933018,1,1113,4,1,81,3,2,0.17484662576687046,3,0,4728,17251,3,1,1,14,3,4,80,0,5,4,3,0,0,0,0
50,45,0.14956855225311602,1339,0.1383975026014568,7,3,0.14686468646864687,1,86,2,1,59,3,3,0.16095890410958943,1,2,9724,18787,2,1,0,17,3,3,80,1,25,2,3,1,0,0,0
51,20,0.2490974729235817,769,0.2062780269058296,9,3,0.22012573203437844,1,1077,4,0,54,3,1,0.3971571172349599,4,0,2323,17205,1,1,1,14,3,2,80,0,2,3,3,2,2,0,2
52,34,0.14956855225311602,167,0.1383975026014568,8,5,0.14686468646864687,1,775,2,0,32,3,2,0.06896586105729074,1,2,5121,4187,3,1,0,14,3,3,80,1,7,3,3,0,0,0,0
53,34,0.14956855225311602,937,0.2062780269058296,1,3,0.22012573203437844,1,1950,1,1,32,3,3,0.17484662576687046,4,0,9888,6770,1,1,0,21,4,1,80,0,14,3,2,14,8,2,1
54,36,0.14956855225311602,1383,0.1383975026014568,10,3,0.14686468646864687,1,1790,4,1,90,3,3,0.06870368828064846,1,1,8321,25949,7,1,1,13,3,4,80,1,15,1,3,12,8,5,7
55,34,0.14956855225311602,285,0.1383975026014568,29,3,0.13577586206896552,1,1377,2,1,86,3,2,0.23938223937897848,3,1,5429,17491,4,1,0,13,3,1,80,2,10,1,3,8,7,7,7
56,38,0.14956855225311602,362,0.1383975026014568,1,1,0.14686468646864687,1,662,3,0,43,3,1,0.16095890410958943,1,0,2619,14561,3,1,0,17,3,4,80,0,8,3,2,0,0,0,0
57,28,0.14956855225311602,821,0.2062780269058296,5,4,0.13577586206896552,1,916,1,1,98,3,2,0.17484662576687046,4,0,4908,24252,1,1,0,14,3,2,80,0,4,3,3,4,2,0,2
58,52,0.14956855225311602,621,0.2062780269058296,3,4,0.22012573203437844,1,776,3,1,31,2,4,0.04905041685272943,1,1,16856,10084,1,1,0,11,3,1,80,0,34,3,4,34,6,1,16
59,30,0.14956855225311602,1138,0.1383975026014568,6,3,0.24242313209808733,1,1311,1,0,48,2,2,0.23938223937897848,4,1,4627,23631,0,1,0,12,3,1,80,1,10,6,3,9,2,6,7
60,33,0.14956855225311602,587,0.1383975026014568,10,1,0.13577586206896552,1,584,1,1,38,1,1,0.23938223937897848,4,2,3408,6705,7,1,0,13,3,1,80,3,8,2,3,4,3,1,3
61,29,0.14956855225311602,726,0.1383975026014568,29,1,0.14686468646864687,1,1859,4,1,93,1,2,0.06870368828064846,3,2,6384,21143,8,1,0,17,3,4,80,2,11,3,3,7,0,1,6
62,32,0.14956855225311602,334,0.1383975026014568,5,2,0.14686468646864687,1,21,1,1,80,4,1,0.16095890410958943,2,2,3298,15053,0,1,1,12,3,4,80,2,7,5,2,6,2,0,5
63,28,0.14956855225311602,654,0.1383975026014568,1,2,0.14686468646864687,1,741,1,0,67,1,1,0.16095890410958943,2,0,2216,3872,7,1,1,13,3,4,80,0,10,4,3,7,7,3,7
64,34,0.08000018359368788,1362,0.2062780269058296,19,3,0.22012573203437844,1,502,1,1,67,4,2,0.17484662576687046,4,0,5304,4652,8,1,1,13,3,2,80,0,9,3,2,5,2,0,4
65,40,0.14956855225311602,1171,0.1383975026014568,10,4,0.14686468646864687,1,483,4,0,46,4,1,0.23938223937897848,3,1,2213,22495,3,1,1,13,3,3,80,1,10,3,3,7,7,1,7
66,40,0.14956855225311602,107,0.2062780269058296,10,3,0.24242313209808733,1,1239,2,0,84,2,2,0.17484662576687046,2,2,6852,11591,7,1,0,12,3,2,80,1,7,2,4,5,1,1,3
67,50,0.14956855225311602,1126,0.1383975026014568,1,2,0.13577586206896552,1,997,4,1,66,3,4,0.02533683182797013,4,2,17399,6615,9,1,0,22,4,3,80,1,32,1,2,5,4,1,3
68,34,0.2490974729235817,829,0.1383975026014568,15,3,0.13577586206896552,1,1485,2,1,71,3,4,0.02533683182797013,1,2,17007,11929,7,1,0,14,3,4,80,2,16,3,2,14,8,6,9
69,33,0.14956855225311602,465,0.1383975026014568,2,2,0.14686468646864687,1,328,1,0,39,3,1,0.23938223937897848,1,1,2707,21509,7,1,0,20,4,1,80,0,13,3,4,9,7,1,7
70,37,0.2490974729235817,1231,0.2062780269058296,21,2,0.13577586206896552,1,900,3,0,54,3,1,0.3971571172349599,4,1,2973,21222,5,1,0,15,3,2,80,1,10,3,3,5,4,0,0
71,38,0.14956855225311602,371,0.1383975026014568,2,3,0.14686468646864687,1,24,4,1,45,3,1,0.16095890410958943,4,0,3944,4306,5,1,1,11,3,3,80,0,6,3,3,3,2,1,2
72,36,0.14956855225311602,1403,0.1383975026014568,6,3,0.14686468646864687,1,373,4,1,47,3,1,0.23938223937897848,4,1,3210,20251,0,1,0,11,3,3,80,1,16,4,3,15,13,10,11
73,32,0.14956855225311602,634,0.1383975026014568,5,4,0.13420118338933018,1,1607,2,0,35,4,1,0.16095890410958943,4,1,3312,18783,3,1,0,17,3,4,80,2,6,3,3,3,2,0,2
74,29,0.2490974729235817,337,0.1383975026014568,14,1,0.13420118338933018,1,1421,3,0,84,3,3,0.06870368828064846,4,0,7553,22930,0,1,1,12,3,1,80,0,9,1,3,8,7,7,7
75,52,0.14956855225311602,1053,0.1383975026014568,1,2,0.14686468646864687,1,976,4,1,70,3,4,0.04905041685272943,4,1,17099,13829,2,1,0,15,3,2,80,1,26,2,2,9,8,7,8
76,44,0.2490974729235817,1193,0.1383975026014568,2,1,0.13577586206896552,1,1496,2,1,86,3,3,0.06896586105729074,3,0,10209,19719,5,1,1,18,3,2,80,0,16,2,2,2,2,2,2
77,31,0.14956855225311602,1062,0.1383975026014568,24,3,0.13577586206896552,1,1252,3,0,96,2,2,0.06870368828064846,1,0,6812,17198,1,1,0,19,3,2,80,0,10,2,3,10,9,1,8
78,44,0.14956855225311602,1037,0.1383975026014568,1,3,0.13577586206896552,1,2020,2,1,42,3,1,0.16095890410958943,4,0,2436,13422,6,1,1,12,3,3,80,0,6,2,3,4,3,1,2
79,27,0.2490974729235817,294,0.1383975026014568,10,2,0.14686468646864687,1,733,4,1,32,3,3,0.06896586105729074,1,2,8793,4809,1,1,0,21,4,3,80,2,9,4,2,9,7,1,7
80,34,0.2490974729235817,735,0.1383975026014568,22,4,0.13420118338933018,1,1932,3,1,86,2,2,0.16095890410958943,4,1,5747,26496,1,1,1,15,3,2,80,0,16,3,3,15,10,6,11
81,34,0.08000018359368788,1375,0.2062780269058296,10,3,0.14686468646864687,1,1774,4,1,87,3,2,0.17484662576687046,3,2,4001,12313,1,1,1,14,3,3,80,1,15,3,3,15,14,0,7
82,33,0.14956855225311602,147,0.1383975026014568,4,4,0.13577586206896552,1,305,3,0,47,2,1,0.16095890410958943,2,1,2622,13248,6,1,0,21,4,4,80,0,7,3,3,3,2,1,1
83,22,0.14956855225311602,604,0.1383975026014568,6,1,0.13577586206896552,1,675,1,1,69,3,1,0.16095890410958943,3,1,2773,12145,0,1,0,20,4,4,80,0,3,3,3,2,2,2,2
84,35,0.14956855225311602,622,0.1383975026014568,14,4,0.13420118338933018,1,1010,3,1,39,2,1,0.23938223937897848,2,2,3743,10074,1,1,1,24,4,4,80,1,5,2,1,4,2,0,2
85,42,0.14956855225311602,532,0.1383975026014568,4,2,0.24242313209808733,1,319,3,1,58,3,5,0.04905041685272943,4,1,19232,4933,1,1,0,11,3,4,80,0,22,3,3,22,17,11,15
86,41,0.08000018359368788,247,0.1383975026014568,7,1,0.14686468646864687,1,1035,2,0,55,1,5,0.02533683182797013,3,2,19973,20284,1,1,0,22,4,2,80,2,21,3,3,21,16,5,10
87,47,0.14956855225311602,1225,0.2062780269058296,2,4,0.14686468646864687,1,1676,2,0,47,4,4,0.04905041685272943,2,2,15972,21086,6,1,0,14,3,3,80,3,29,2,3,3,2,1,2
88,29,0.08000018359368788,746,0.2062780269058296,2,3,0.14686468646864687,1,469,4,1,61,3,2,0.17484662576687046,3,1,4649,16928,1,1,0,14,3,1,80,1,4,3,2,4,3,0,2
89,36,0.14956855225311602,164,0.2062780269058296,2,2,0.13577586206896552,1,513,2,1,61,2,3,0.17484662576687046,3,1,7596,3809,1,1,0,13,3,2,80,2,10,2,3,10,9,9,0
90,25,0.14956855225311602,891,0.2062780269058296,4,2,0.14686468646864687,1,527,2,0,99,2,2,0.17484662576687046,4,0,4487,12090,1,1,1,11,3,2,80,0,5,3,3,5,4,1,3
91,39,0.2490974729235817,766,0.2062780269058296,20,3,0.14686468646864687,1,1812,3,1,83,3,2,0.17484662576687046,4,2,4127,19188,2,1,0,18,3,4,80,1,7,6,3,2,1,2,2
92,55,0.14956855225311602,725,0.1383975026014568,2,3,0.13577586206896552,1,787,4,1,78,3,5,0.04905041685272943,1,1,19859,21199,5,1,1,13,3,4,80,1,24,2,3,5,2,1,4
93,50,0.14956855225311602,939,0.1383975026014568,24,3,0.14686468646864687,1,1005,4,1,95,3,4,0.06896586105729074,3,1,13973,4161,3,1,1,18,3,4,80,1,22,2,3,12,11,1,5
94,46,0.14956855225311602,1009,0.1383975026014568,2,3,0.14686468646864687,1,575,1,1,51,3,4,0.02533683182797013,3,1,17861,2288,6,1,0,13,3,3,80,0,26,2,1,3,2,0,1
95,46,0.14956855225311602,1485,0.1383975026014568,18,3,0.13577586206896552,1,550,3,0,87,3,2,0.06896586105729074,3,2,4810,26314,2,1,0,14,3,3,80,1,19,5,2,10,7,0,8
96,57,0.14956855225311602,334,0.1383975026014568,24,2,0.14686468646864687,1,223,3,1,83,4,3,0.06870368828064846,4,2,9439,23402,3,1,1,16,3,2,80,1,12,2,1,5,3,1,4
97,35,0.14956855225311602,1276,0.1383975026014568,16,3,0.14686468646864687,1,586,4,1,72,3,3,0.06870368828064846,3,1,7632,14295,4,1,1,12,3,3,80,0,10,2,3,8,7,0,0
98,44,0.14956855225311602,1376,0.19008460036286423,1,2,0.13577586206896552,1,1098,2,1,91,2,3,0.22804546072229726,1,1,10482,2326,9,1,0,14,3,4,80,1,24,1,3,20,6,3,6
99,35,0.14956855225311602,583,0.1383975026014568,25,4,0.13577586206896552,1,1014,3,0,57,3,3,0.06870368828064846,3,2,10388,6975,1,1,1,11,3,3,80,1,16,3,2,16,10,10,1
100,44,0.08000018359368788,489,0.1383975026014568,23,3,0.13577586206896552,1,132,2,1,67,3,2,0.23938223937897848,2,1,2042,25043,4,1,0,12,3,3,80,1,17,3,4,3,2,1,2
101,24,0.14956855225311602,1353,0.2062780269058296,3,2,0.13420118338933018,1,128,1,0,33,3,2,0.17484662576687046,3,1,4999,17519,0,1,0,21,4,1,80,1,4,2,2,3,2,0,2
102,48,0.2490974729235817,117,0.1383975026014568,22,3,0.13577586206896552,1,1900,4,0,58,3,4,0.04905041685272943,4,2,17174,2437,3,1,0,11,3,2,80,1,24,3,3,22,17,4,7
103,30,0.2490974729235817,1312,0.1383975026014568,23,3,0.14686468646864687,1,159,1,1,96,1,1,0.16095890410958943,3,2,2613,22310,1,1,0,25,4,3,80,3,10,2,2,10,7,0,9
104,52,0.08000018359368788,585,0.2062780269058296,29,4,0.14686468646864687,1,2019,1,1,40,3,1,0.3971571172349599,4,2,3482,19788,2,1,0,15,3,2,80,2,16,3,2,9,8,0,0
105,25,0.14956855225311602,1356,0.2062780269058296,10,4,0.14686468646864687,1,1240,3,1,57,3,2,0.17484662576687046,4,0,4950,20623,0,1,0,14,3,2,80,0,5,4,3,4,3,1,1
106,37,0.2490974729235817,889,0.1383975026014568,9,3,0.13577586206896552,1,403,2,1,53,3,1,0.16095890410958943,4,1,2326,11411,1,1,1,12,3,3,80,3,4,3,2,4,2,1,2
107,40,0.08000018359368788,1479,0.2062780269058296,24,3,0.14686468646864687,1,986,2,0,100,4,4,0.17484662576687046,2,0,13194,17071,4,1,1,16,3,4,80,0,22,2,2,1,0,0,0
108,36,0.2490974729235817,1480,0.1383975026014568,3,2,0.13577586206896552,1,238,4,1,30,3,1,0.23938223937897848,2,0,2088,15062,4,1,0,12,3,3,80,0,13,3,2,8,7,7,2
109,40,0.2490974729235817,580,0.2062780269058296,5,4,0.14686468646864687,1,729,4,1,48,2,3,0.17484662576687046,1,1,10475,23772,5,1,1,21,4,3,80,1,20,2,3,18,13,1,12
110,27,0.14956855225311602,1134,0.1383975026014568,16,4,0.24242313209808733,1,1001,3,0,37,3,1,0.23938223937897848,2,1,2811,12086,9,1,0,14,3,2,80,1,4,2,3,2,2,2,2
111,58,0.14956855225311602,682,0.2062780269058296,10,4,0.13577586206896552,1,131,4,1,37,3,4,0.17484662576687046,3,0,13872,24409,0,1,0,13,3,3,80,0,38,1,2,37,10,1,8
112,40,0.14956855225311602,804,0.1383975026014568,2,1,0.13577586206896552,1,763,4,0,86,2,1,0.16095890410958943,4,0,2342,22929,0,1,1,20,4,4,80,0,5,2,2,4,2,2,3
113,45,0.14956855225311602,1316,0.1383975026014568,29,3,0.13577586206896552,1,192,3,1,83,3,1,0.16095890410958943,4,0,3452,9752,5,1,0,13,3,2,80,0,9,2,2,6,5,0,3
114,49,0.14956855225311602,465,0.1383975026014568,6,1,0.14686468646864687,1,1661,3,0,41,2,4,0.06870368828064846,3,1,13966,11652,2,1,1,19,3,2,80,1,30,3,3,15,11,2,12
115,32,0.14956855225311602,588,0.2062780269058296,8,2,0.24242313209808733,1,436,3,0,65,2,2,0.17484662576687046,2,1,5228,24624,1,1,1,11,3,4,80,0,13,2,3,13,12,11,9
116,34,0.08000018359368788,697,0.1383975026014568,3,4,0.14686468646864687,1,1115,3,1,40,2,1,0.16095890410958943,4,1,2979,22478,3,1,0,17,3,4,80,3,6,2,3,0,0,0,0
117,43,0.14956855225311602,920,0.1383975026014568,3,3,0.14686468646864687,1,1255,3,1,96,1,5,0.02533683182797013,4,1,19740,18625,3,1,0,14,3,2,80,1,25,2,3,8,7,0,7
118,43,0.2490974729235817,1001,0.1383975026014568,9,5,0.13577586206896552,1,663,4,1,72,3,2,0.23938223937897848,3,2,5679,19627,3,1,1,13,3,2,80,1,10,3,3,8,7,4,7
119,33,0.14956855225311602,931,0.1383975026014568,14,3,0.13577586206896552,1,252,4,0,72,3,1,0.16095890410958943,2,1,2756,4673,1,1,0,13,3,4,80,1,8,5,3,8,7,1,6
120,49,0.14956855225311602,174,0.2062780269058296,8,4,0.24242313209808733,1,1138,4,1,56,2,4,0.17484662576687046,2,1,13120,11879,6,1,0,17,3,2,80,1,22,3,3,9,8,2,3
121,58,0.2490974729235817,781,0.1383975026014568,2,1,0.14686468646864687,1,918,4,1,57,2,1,0.23938223937897848,4,2,2380,13384,9,1,1,14,3,4,80,1,3,3,2,1,0,0,0
122,26,0.14956855225311602,1443,0.2062780269058296,23,3,0.22012573203437844,1,72,3,0,47,2,2,0.17484662576687046,4,1,4157,21436,7,1,1,19,3,3,80,1,5,2,2,2,2,0,0
123,39,0.2490974729235817,1218,0.1383975026014568,1,1,0.14686468646864687,1,531,2,1,52,3,5,0.04905041685272943,3,2,19197,8213,1,1,1,14,3,3,80,1,21,3,3,21,8,1,6
124,53,0.14956855225311602,1376,0.2062780269058296,2,2,0.13577586206896552,1,981,3,1,45,3,4,0.04905041685272943,3,2,14852,13938,6,1,0,13,3,3,80,1,22,3,4,17,13,15,2
125,50,0.14956855225311602,316,0.2062780269058296,8,4,0.22012573203437844,1,738,4,1,54,3,1,0.3971571172349599,2,1,3875,9983,7,1,0,15,3,4,80,1,4,2,3,2,2,2,2
126,37,0.14956855225311602,571,0.1383975026014568,10,1,0.14686468646864687,1,802,4,0,82,3,1,0.16095890410958943,1,2,2782,19905,0,1,1,13,3,2,80,2,6,3,2,5,3,4,3
127,40,0.14956855225311602,658,0.2062780269058296,10,4,0.22012573203437844,1,954,1,1,67,2,3,0.17484662576687046,2,2,9705,20652,2,1,0,12,3,2,80,1,11,2,2,1,0,0,0
128,43,0.14956855225311602,782,0.1383975026014568,6,4,0.13420118338933018,1,661,2,1,50,2,4,0.02533683182797013,4,2,16627,2671,4,1,1,14,3,3,80,1,21,3,2,1,0,0,0
129,30,0.14956855225311602,1288,0.2062780269058296,29,4,0.24242313209808733,1,1568,3,1,33,3,3,0.17484662576687046,2,1,9250,17799,3,1,0,12,3,2,80,1,9,3,3,4,2,1,3
130,32,0.2490974729235817,689,0.2062780269058296,9,2,0.13577586206896552,1,195,4,1,35,1,2,0.17484662576687046,4,2,4668,22812,0,1,0,17,3,4,80,3,9,2,4,8,7,0,7
131,33,0.14956855225311602,1277,0.1383975026014568,15,1,0.13577586206896552,1,582,2,1,56,3,3,0.04905041685272943,3,1,13610,24619,7,1,1,12,3,4,80,0,15,2,4,7,6,7,7
132,56,0.14956855225311602,832,0.1383975026014568,9,3,0.13577586206896552,1,762,3,1,81,3,4,0.06870368828064846,4,1,11103,20420,7,1,0,11,3,3,80,0,30,1,2,10,7,1,1
